"sender","recipient","interactiontime"
"CB","JC","2014-04-27 20:07:51"
"CB","AA","2014-05-31 08:51:36"
"CB","JC","2014-06-03 21:36:10"
"CB","HF","2014-06-05 11:17:23"
"CB","JC","2014-05-30 08:20:32"
"CB","ss","2014-05-21 06:42:21"
"CB","AA","2014-04-22 08:16:37"
"CB","ss","2014-06-07 20:47:18"
"CB","ss","2014-03-29 20:12:05"
"CB","JC","2014-06-04 07:26:23"
"CB","AA","2014-06-06 07:08:31"
"CB","ss","2014-05-22 18:24:43"
"CB","ss","2014-03-30 09:01:29"
"CB","E","2014-04-18 18:59:19"
"CB","T","2014-05-17 10:53:21"
"CB","AA","2014-05-07 08:42:51"
"CB","AA","2014-06-06 14:55:18"
"CB","AA","2014-05-26 11:51:28"
"CB","AA","2014-06-06 19:04:18"
"CB","JC","2014-06-04 21:21:30"
"CB","HF","2014-06-06 07:06:41"
"CB","JC","2014-05-05 12:56:59"
"CB","E","2014-04-23 08:39:49"
"CB","ss","2014-05-12 07:27:49"
"CB","JC","2014-05-05 19:29:24"
"CB","T","2014-04-02 12:45:26"
"CB","AA","2014-06-01 10:27:13"
"CB","JC","2014-05-06 15:04:34"
"CB","JC","2014-05-06 20:28:59"
"CB","AA","2014-05-26 18:27:43"
"CB","HF","2014-05-19 12:07:45"
"CB","HF","2014-02-25 15:44:39"
"CB","JC","2014-05-12 07:26:52"
"CB","DC","2014-05-24 21:24:51"
"CB","AA","2014-05-08 09:05:39"
"CB","HF","2014-06-07 18:49:14"
"CB","ss","2014-05-27 17:06:08"
"CB","AA","2014-05-21 13:30:52"
"CB","JC","2014-05-07 08:44:03"
"CB","AA","2014-05-08 20:39:08"
"CB","JC","2014-06-06 20:11:03"
"CB","DC","2014-06-07 18:49:01"
"CB","T","2014-05-19 18:08:29"
"CB","JC","2014-03-11 11:07:04"
"CB","AA","2014-06-09 07:10:58"
"CB","JC","2014-05-31 08:51:24"
"CB","AA","2014-05-22 08:23:53"
"CB","AA","2014-06-09 11:33:21"
"CB","ss","2014-05-28 18:48:07"
"CB","ss","2014-05-14 13:52:24"
"CB","HF","2014-04-22 08:16:37"
"CB","JC","2014-05-26 09:07:32"
"CB","AA","2014-05-27 21:11:11"
"CB","HF","2014-05-31 08:51:31"
"CB","AA","2014-05-28 08:07:25"
"CB","AA","2014-06-03 19:12:48"
"CB","JC","2014-05-19 19:54:06"
"CB","ss","2014-04-17 21:02:18"
"CB","AA","2014-05-10 07:20:42"
"CB","AA","2014-05-28 13:55:16"
"CB","JC","2014-05-26 13:27:09"
"CB","HF","2014-05-04 06:59:49"
"CB","E","2014-03-27 18:00:32"
"CB","ss","2014-04-18 19:19:00"
"CB","T","2014-05-04 09:13:20"
"CB","AA","2014-05-17 06:15:31"
"CB","ss","2014-05-30 19:45:51"
"CB","AA","2014-05-10 15:23:35"
"CB","E","2014-06-02 14:12:35"
"CB","JC","2014-05-26 18:27:36"
"CB","JC","2014-04-17 21:03:10"
"CB","DC","2014-05-30 19:45:30"
"CB","JC","2014-06-08 09:53:09"
"CB","JC","2014-04-18 18:59:19"
"CB","JC","2014-05-21 06:42:21"
"CB","HF","2014-03-15 07:30:04"
"CB","ss","2014-04-30 19:37:26"
"CB","AA","2014-05-11 08:55:03"
"CB","JC","2014-06-01 20:45:36"
"CB","JC","2014-05-22 08:23:47"
"CB","T","2014-05-07 18:07:41"
"CB","AA","2014-05-30 08:21:06"
"CB","HF","2014-05-12 14:39:48"
"CB","JC","2014-05-10 09:48:09"
"CB","ss","2014-05-06 07:17:41"
"CB","T","2014-05-08 15:17:00"
"CB","AA","2014-05-12 14:40:46"
"CB","HF","2014-03-22 09:10:32"
"CB","ss","2014-06-04 07:28:29"
"CB","JC","2014-03-27 21:38:01"
"CB","AA","2014-04-18 08:03:49"
"CB","AA","2014-05-13 05:48:26"
"CB","JC","2014-03-29 07:16:53"
"CB","HF","2014-03-25 08:06:10"
"CB","JC","2014-04-22 08:15:59"
"CB","AA","2014-04-18 21:53:09"
"CB","HF","2014-05-14 13:52:14"
"CB","JC","2014-05-10 20:33:30"
"CB","JC","2014-05-17 06:15:02"
"CB","JC","2014-05-24 08:45:06"
"CB","T","2014-05-14 13:51:44"
"CB","AA","2014-03-22 09:10:32"
"CB","DC","2014-06-03 07:32:11"
"CB","JC","2014-03-30 06:57:37"
"CB","E","2014-02-25 10:34:53"
"CB","ss","2014-03-25 18:49:23"
"CB","JC","2014-05-24 12:54:57"
"CB","ss","2014-05-08 15:17:00"
"CB","AA","2014-05-31 18:19:35"
"CB","AA","2014-05-19 12:08:16"
"CB","ss","2014-03-29 07:16:53"
"CB","DC","2014-06-04 07:28:29"
"CB","JC","2014-05-11 08:55:03"
"CB","JC","2014-05-03 19:05:58"
"CB","JC","2014-06-04 07:28:29"
"CB","HF","2014-05-27 07:17:14"
"CB","AA","2014-05-26 09:07:02"
"CB","AA","2014-05-14 13:52:44"
"CB","AA","2014-03-27 21:38:01"
"CB","DC","2014-05-24 08:45:06"
"CB","AA","2014-05-19 21:32:32"
"CB","AA","2014-06-06 14:57:17"
"CB","JC","2014-05-24 21:23:26"
"CB","JC","2014-04-02 21:29:20"
"CB","JC","2014-05-04 10:34:38"
"CB","AA","2014-03-04 12:33:03"
"CB","JC","2014-05-11 13:06:40"
"CB","AA","2014-05-07 18:07:27"
"CB","JC","2014-03-08 08:45:18"
"CB","DC","2014-05-03 06:04:58"
"CB","JC","2014-05-30 19:45:00"
"CB","AA","2014-05-20 18:17:56"
"CB","JC","2014-05-18 09:17:31"
"CB","AA","2014-03-05 17:04:23"
"CB","DC","2014-06-06 07:06:31"
"CB","JC","2014-05-25 13:28:14"
"CB","AA","2014-05-26 20:05:53"
"CB","HF","2014-05-19 12:56:07"
"CB","HF","2014-02-26 05:41:11"
"CB","AA","2014-04-02 07:24:46"
"CB","AA","2014-06-02 10:12:45"
"CB","DC","2014-05-25 20:13:13"
"CB","DC","2014-06-07 19:28:29"
"CB","AA","2014-05-27 07:17:17"
"CB","AA","2014-05-15 10:50:44"
"CB","JC","2014-05-13 05:49:15"
"CB","AA","2014-06-09 10:54:09"
"CB","AA","2014-06-02 19:33:43"
"CB","AA","2014-05-27 16:57:25"
"CB","HF","2014-05-30 18:53:52"
"CB","ss","2014-04-14 17:41:44"
"CB","AA","2014-05-15 22:15:10"
"CB","AA","2014-05-22 18:58:18"
"CB","ss","2014-04-15 11:31:58"
"CB","JC","2014-05-26 11:12:14"
"CB","E","2014-03-23 06:25:06"
"CB","HF","2014-06-09 10:54:09"
"CB","DC","2014-05-28 21:43:55"
"CB","JC","2014-05-19 12:08:03"
"CB","AA","2014-05-16 18:07:21"
"CB","JC","2014-05-14 13:53:19"
"CB","AA","2014-05-23 08:18:47"
"CB","JC","2014-05-08 19:00:09"
"CB","AA","2014-05-10 14:00:44"
"CB","JC","2014-06-07 20:47:08"
"CB","T","2014-05-04 13:48:26"
"CB","JC","2014-04-16 11:42:10"
"CB","AA","2014-05-28 21:44:47"
"CB","HF","2014-06-01 07:55:30"
"CB","E","2014-06-03 19:10:01"
"CB","T","2014-05-06 15:13:13"
"CB","JC","2014-04-18 08:03:49"
"CB","E","2014-06-06 20:10:56"
"CB","AA","2014-04-13 07:43:34"
"CB","AA","2014-06-04 07:28:12"
"CB","AA","2014-05-24 08:44:24"
"CB","JC","2014-05-21 20:02:02"
"CB","HF","2014-05-24 10:53:46"
"CB","HF","2014-06-02 09:29:14"
"CB","AA","2014-04-14 17:04:35"
"CB","ss","2014-05-04 07:21:15"
"CB","ss","2014-05-17 21:17:26"
"CB","HF","2014-06-02 14:18:39"
"CB","AA","2014-05-12 07:28:00"
"CB","ss","2014-05-18 20:49:47"
"CB","JC","2014-06-09 07:11:44"
"CB","HF","2014-05-24 21:24:23"
"CB","JC","2014-05-16 14:49:59"
"CB","AA","2014-04-17 21:03:23"
"CB","AA","2014-06-05 07:40:19"
"CB","AA","2014-05-24 21:23:43"
"CB","JC","2014-05-28 21:44:14"
"CB","AA","2014-06-05 11:09:45"
"CB","DC","2014-06-01 07:55:18"
"CB","JC","2014-05-10 19:07:59"
"CB","ss","2014-05-19 19:54:06"
"CB","AA","2014-06-05 20:21:15"
"CB","E","2014-04-13 07:43:34"
"CB","HF","2014-03-29 07:16:53"
"CB","AA","2014-04-19 15:38:32"
"CB","AA","2014-05-25 13:15:10"
"CB","JC","2014-04-27 13:24:59"
"CB","HF","2014-05-15 15:40:05"
"CB","JC","2014-05-29 19:54:00"
"CB","HF","2014-06-05 11:09:51"
"CB","JC","2014-03-30 21:36:00"
"CB","JC","2014-05-02 09:18:38"
"CB","AA","2014-03-24 21:29:44"
"CB","AA","2014-05-19 12:56:07"
"CB","AA","2014-06-06 07:06:46"
"CB","ss","2014-05-22 20:30:37"
"CB","AA","2014-06-06 14:55:05"
"CB","AA","2014-05-26 11:12:14"
"CB","AA","2014-03-28 19:34:02"
"CB","AA","2014-05-07 11:54:09"
"CB","ss","2014-05-11 08:56:13"
"CB","JC","2014-04-03 05:49:31"
"CB","HF","2014-05-28 15:03:44"
"CB","AA","2014-05-07 16:02:16"
"CB","DC","2014-05-01 07:35:15"
"CB","JC","2014-05-11 20:10:05"
"CB","AA","2014-05-07 20:37:54"
"CB","JC","2014-03-08 17:19:49"
"CB","HF","2014-06-06 14:57:17"
"CB","AA","2014-05-26 15:04:40"
"CB","T","2014-04-02 12:44:06"
"CB","JC","2014-05-30 19:45:45"
"CB","AA","2014-06-01 07:55:32"
"CB","JC","2014-05-06 11:26:01"
"CB","AA","2014-05-26 18:27:36"
"CB","DC","2014-05-24 21:24:23"
"CB","HF","2014-06-07 17:14:49"
"CB","E","2014-05-25 07:28:51"
"CB","JC","2014-05-25 19:06:50"
"CB","AA","2014-04-01 18:47:44"
"CB","AA","2014-05-21 13:30:42"
"CB","JC","2014-05-07 08:42:58"
"CB","JC","2014-06-06 20:10:42"
"CB","DC","2014-06-07 18:48:57"
"CB","JC","2014-05-31 08:51:10"
"CB","AA","2014-05-22 08:23:44"
"CB","JC","2014-05-07 16:04:38"
"CB","E","2014-05-26 09:07:32"
"CB","HF","2014-06-08 16:35:32"
"CB","ss","2014-05-14 13:51:39"
"CB","ss","2014-05-28 21:44:54"
"CB","HF","2014-04-22 08:15:42"
"CB","AA","2014-05-09 15:29:58"
"CB","E","2014-05-29 09:09:36"
"CB","JC","2014-05-26 09:07:06"
"CB","AA","2014-06-03 08:58:41"
"CB","HF","2014-05-31 08:51:10"
"CB","JC","2014-06-07 18:49:29"
"CB","AA","2014-05-28 08:07:15"
"CB","JC","2014-05-26 12:09:40"
"CB","ss","2014-04-17 20:59:24"
"CB","AA","2014-05-10 07:20:39"
"CB","E","2014-06-08 17:27:00"
"CB","ss","2014-02-25 15:44:39"
"CB","AA","2014-06-03 21:36:10"
"CB","AA","2014-05-23 08:20:03"
"CB","ss","2014-04-18 18:59:19"
"CB","T","2014-05-04 09:10:40"
"CB","ss","2014-05-30 19:45:09"
"CB","E","2014-03-28 20:42:45"
"CB","AA","2014-05-10 15:22:52"
"CB","JC","2014-06-08 08:04:50"
"CB","T","2014-05-05 19:27:26"
"CB","JC","2014-06-01 07:56:19"
"CB","HF","2014-05-07 16:03:11"
"CB","JC","2014-04-17 21:02:02"
"CB","DC","2014-05-30 19:43:20"
"CB","ss","2014-04-23 08:39:49"
"CB","JC","2014-05-09 20:11:54"
"CB","JC","2014-05-21 06:41:41"
"CB","ss","2014-04-24 21:03:29"
"CB","JC","2014-03-22 12:05:18"
"CB","DC","2014-05-15 10:50:44"
"CB","AA","2014-04-13 10:44:47"
"CB","JC","2014-06-01 19:34:50"
"CB","AA","2014-05-24 10:54:40"
"CB","JC","2014-05-10 07:19:58"
"CB","JC","2014-05-22 08:23:12"
"CB","AA","2014-05-29 19:54:17"
"CB","HF","2014-05-11 13:06:40"
"CB","ss","2014-05-04 09:09:45"
"CB","AA","2014-05-30 08:20:59"
"CB","JC","2014-05-28 13:54:57"
"CB","ss","2014-03-15 07:30:04"
"CB","JC","2014-03-27 18:01:17"
"CB","ss","2014-05-07 07:08:42"
"CB","AA","2014-05-13 05:48:09"
"CB","JC","2014-03-29 07:16:18"
"CB","ss","2014-03-19 10:23:23"
"CB","AA","2014-04-18 21:04:56"
"CB","HF","2014-06-04 07:28:29"
"CB","HF","2014-05-14 13:51:42"
"CB","JC","2014-05-24 08:44:53"
"CB","ss","2014-05-19 21:32:32"
"CB","JC","2014-06-03 07:32:33"
"CB","JC","2014-05-24 08:51:57"
"CB","ss","2014-05-07 18:16:11"
"CB","AA","2014-03-23 06:25:06"
"CB","HF","2014-05-26 09:07:32"
"CB","E","2014-02-26 06:16:29"
"CB","ss","2014-05-21 13:31:13"
"CB","AA","2014-05-19 12:07:52"
"CB","ss","2014-03-29 07:16:45"
"CB","DC","2014-06-04 07:27:45"
"CB","JC","2014-05-11 08:53:56"
"CB","ss","2014-05-09 13:47:25"
"CB","JC","2014-05-03 16:22:18"
"CB","JC","2014-05-17 21:17:34"
"CB","JC","2014-06-04 07:28:12"
"CB","E","2014-04-17 21:03:23"
"CB","ss","2014-05-09 20:11:54"
"CB","T","2014-05-17 06:16:19"
"CB","AA","2014-05-26 09:06:56"
"CB","AA","2014-05-14 13:52:24"
"CB","AA","2014-03-27 18:01:17"
"CB","HF","2014-05-27 12:27:11"
"CB","JC","2014-05-04 07:22:36"
"CB","AA","2014-05-07 08:44:03"
"CB","AA","2014-06-06 14:55:58"
"CB","AA","2014-03-29 07:16:53"
"CB","JC","2014-05-04 09:13:20"
"CB","JC","2014-06-04 20:23:24"
"CB","HF","2014-06-06 07:06:02"
"CB","DC","2014-06-05 07:40:26"
"CB","AA","2014-05-20 06:54:16"
"CB","JC","2014-05-04 14:24:48"
"CB","AA","2014-03-04 12:32:55"
"CB","HF","2014-05-17 21:17:26"
"CB","JC","2014-05-05 17:22:05"
"CB","AA","2014-05-07 18:06:24"
"CB","AA","2014-06-07 06:40:59"
"CB","JC","2014-05-30 19:44:57"
"CB","AA","2014-05-20 18:17:30"
"CB","JC","2014-05-05 21:32:46"
"CB","JC","2014-06-05 07:40:19"
"CB","DC","2014-06-06 07:06:02"
"CB","AA","2014-05-26 15:06:49"
"CB","JC","2014-05-25 13:15:00"
"CB","JC","2014-05-18 14:15:51"
"CB","JC","2014-06-05 19:55:18"
"CB","DC","2014-06-06 14:57:17"
"CB","HF","2014-05-19 12:08:54"
"CB","DC","2014-05-06 07:16:59"
"CB","AA","2014-03-07 20:32:46"
"CB","HF","2014-06-07 20:07:36"
"CB","AA","2014-04-02 07:24:33"
"CB","AA","2014-06-02 09:29:14"
"CB","DC","2014-05-25 19:06:50"
"CB","AA","2014-05-09 06:21:54"
"CB","AA","2014-05-27 07:17:11"
"CB","HF","2014-05-29 19:54:17"
"CB","AA","2014-05-09 09:21:54"
"CB","JC","2014-06-07 11:30:43"
"CB","AA","2014-06-09 10:54:01"
"CB","HF","2014-05-20 18:17:56"
"CB","AA","2014-04-02 12:45:26"
"CB","AA","2014-06-02 19:32:20"
"CB","HF","2014-03-04 12:32:55"
"CB","JC","2014-05-07 18:16:11"
"CB","DC","2014-05-26 18:28:18"
"CB","HF","2014-05-22 08:23:47"
"CB","AA","2014-05-16 06:50:57"
"CB","E","2014-03-23 06:24:26"
"CB","JC","2014-05-08 06:27:34"
"CB","DC","2014-05-10 07:20:39"
"CB","JC","2014-04-13 16:16:34"
"CB","JC","2014-06-07 20:07:36"
"CB","JC","2014-05-26 12:37:55"
"CB","AA","2014-05-16 14:50:54"
"CB","JC","2014-05-14 13:52:44"
"CB","HF","2014-05-03 10:31:56"
"CB","JC","2014-05-08 15:17:00"
"CB","AA","2014-05-10 09:48:09"
"CB","E","2014-06-01 12:09:53"
"CB","JC","2014-05-26 13:46:47"
"CB","JC","2014-04-15 11:31:58"
"CB","HF","2014-03-10 19:37:38"
"CB","E","2014-03-29 07:16:53"
"CB","AA","2014-05-10 16:35:37"
"CB","HF","2014-06-01 07:55:20"
"CB","E","2014-03-29 10:47:53"
"CB","T","2014-05-06 11:26:01"
"CB","AA","2014-05-23 20:07:53"
"CB","E","2014-06-04 12:21:05"
"CB","JC","2014-05-26 20:05:58"
"CB","AA","2014-05-17 21:17:26"
"CB","HF","2014-05-24 08:44:24"
"CB","E","2014-06-06 20:10:42"
"CB","HF","2014-03-14 07:42:54"
"CB","ss","2014-06-02 19:33:43"
"CB","JC","2014-06-08 12:41:42"
"CB","AA","2014-05-11 13:06:40"
"CB","ss","2014-05-17 21:16:56"
"CB","JC","2014-04-19 17:18:45"
"CB","AA","2014-06-04 17:29:18"
"CB","HF","2014-06-02 14:17:55"
"CB","ss","2014-05-05 18:19:29"
"CB","AA","2014-05-12 07:27:45"
"CB","JC","2014-03-25 08:06:10"
"CB","JC","2014-05-28 08:07:25"
"CB","ss","2014-03-14 18:50:57"
"CB","HF","2014-06-03 07:32:19"
"CB","T","2014-02-25 10:34:53"
"CB","JC","2014-06-09 07:09:00"
"CB","T","2014-05-09 20:11:47"
"CB","HF","2014-03-22 12:02:28"
"CB","AA","2014-04-17 21:02:18"
"CB","AA","2014-06-05 07:40:11"
"CB","AA","2014-05-24 21:23:21"
"CB","JC","2014-03-28 19:34:02"
"CB","JC","2014-03-29 10:47:53"
"CB","JC","2014-05-17 06:15:41"
"CB","AA","2014-06-05 19:55:18"
"CB","JC","2014-02-26 06:16:29"
"CB","AA","2014-03-22 12:02:28"
"CB","ss","2014-05-20 06:54:22"
"CB","JC","2014-04-26 12:32:51"
"CB","DC","2014-05-22 18:57:23"
"CB","HF","2014-06-05 11:09:16"
"CB","AA","2014-05-25 20:13:13"
"CB","AA","2014-05-31 20:30:47"
"CB","HF","2014-05-26 13:46:46"
"CB","JC","2014-05-02 09:17:49"
"CB","AA","2014-05-19 12:10:19"
"CB","JC","2014-05-03 08:07:03"
"CB","AA","2014-06-06 07:06:31"
"CB","HF","2014-05-16 14:49:41"
"CB","AA","2014-05-19 18:08:46"
"CB","JC","2014-05-03 20:27:08"
"CB","JC","2014-04-02 07:24:33"
"CB","ss","2014-03-31 19:40:38"
"CB","AA","2014-05-07 07:08:29"
"CB","AA","2014-06-06 14:54:51"
"CB","AA","2014-05-26 09:07:32"
"CB","ss","2014-05-11 20:10:05"
"CB","JC","2014-05-30 17:25:30"
"CB","HF","2014-05-28 15:03:04"
"CB","AA","2014-06-06 20:11:42"
"CB","DC","2014-04-30 19:37:37"
"CB","JC","2014-05-11 20:09:58"
"CB","HF","2014-06-06 14:55:58"
"CB","JC","2014-05-30 19:45:21"
"CB","AA","2014-06-01 07:55:26"
"CB","DC","2014-05-04 07:22:36"
"CB","AA","2014-03-30 09:01:02"
"CB","AA","2014-06-08 09:53:09"
"CB","DC","2014-05-05 18:10:59"
"CB","HF","2014-02-25 13:19:38"
"CB","DC","2014-05-24 21:23:43"
"CB","AA","2014-05-21 06:42:05"
"CB","DC","2014-05-25 18:22:21"
"CB","JC","2014-05-07 08:42:51"
"CB","AA","2014-03-08 06:53:42"
"CB","E","2014-05-25 19:06:50"
"CB","T","2014-05-19 12:08:54"
"CB","JC","2014-06-07 06:40:47"
"CB","DC","2014-05-07 08:44:03"
"CB","ss","2014-05-28 13:55:19"
"CB","AA","2014-05-22 08:23:12"
"CB","JC","2014-05-07 16:02:57"
"CB","AA","2014-05-27 12:27:11"
"CB","E","2014-05-26 09:05:12"
"CB","AA","2014-06-02 20:51:10"
"CB","AA","2014-05-27 17:06:18"
"CB","JC","2014-05-31 19:07:49"
"CB","AA","2014-05-09 14:54:16"
"CB","HF","2014-06-09 07:10:38"
"CB","JC","2014-05-26 09:06:09"
"CB","JC","2014-03-13 20:19:15"
"CB","AA","2014-05-27 19:21:01"
"CB","HF","2014-05-22 11:02:54"
"CB","AA","2014-06-03 07:32:30"
"CB","JC","2014-06-07 18:49:14"
"CB","AA","2014-05-28 08:07:00"
"CB","HF","2014-05-22 18:57:23"
"CB","JC","2014-05-26 11:51:28"
"CB","AA","2014-03-11 11:07:04"
"CB","ss","2014-05-30 08:20:48"
"CB","AA","2014-05-23 08:19:55"
"CB","E","2014-03-27 14:15:22"
"CB","JC","2014-05-19 21:02:38"
"CB","E","2014-06-09 07:10:38"
"CB","DC","2014-05-11 08:56:26"
"CB","T","2014-05-04 09:09:45"
"CB","HF","2014-05-07 08:42:51"
"CB","JC","2014-05-09 07:57:40"
"CB","JC","2014-05-20 06:54:16"
"CB","HF","2014-05-07 16:02:57"
"CB","ss","2014-04-22 08:15:42"
"CB","JC","2014-04-17 20:59:24"
"CB","ss","2014-05-16 14:49:43"
"CB","JC","2014-05-09 20:11:40"
"CB","ss","2014-04-24 20:11:25"
"CB","HF","2014-06-02 08:05:29"
"CB","JC","2014-05-21 21:23:45"
"CB","JC","2014-03-23 06:25:06"
"CB","HF","2014-05-24 12:54:57"
"CB","T","2014-05-07 08:44:03"
"CB","ss","2014-05-17 06:15:13"
"CB","JC","2014-06-01 17:50:00"
"CB","AA","2014-05-24 10:53:46"
"CB","HF","2014-05-10 14:00:39"
"CB","ss","2014-05-03 19:06:35"
"CB","AA","2014-05-11 12:18:41"
"CB","AA","2014-05-29 19:54:06"
"CB","AA","2014-04-15 11:31:58"
"CB","DC","2014-05-31 08:51:31"
"CB","ss","2014-06-03 19:10:41"
"CB","AA","2014-05-30 08:20:53"
"CB","JC","2014-05-16 06:50:39"
"CB","AA","2014-04-16 11:42:10"
"CB","ss","2014-05-18 08:04:05"
"CB","JC","2014-05-28 18:48:19"
"CB","JC","2014-03-27 14:15:22"
"CB","ss","2014-03-19 09:03:17"
"CB","JC","2014-06-02 19:33:55"
"CB","HF","2014-06-04 07:27:45"
"CB","DC","2014-06-01 07:56:19"
"CB","AA","2014-05-25 07:38:47"
"CB","AA","2014-05-30 19:45:51"
"CB","HF","2014-05-25 20:13:13"
"CB","ss","2014-05-19 18:08:54"
"CB","HF","2014-06-04 13:31:48"
"CB","JC","2014-05-24 08:44:42"
"CB","ss","2014-05-07 16:04:38"
"CB","AA","2014-05-30 20:22:42"
"CB","ss","2014-05-19 21:02:38"
"CB","HF","2014-03-27 18:01:17"
"CB","JC","2014-06-03 07:32:19"
"CB","HF","2014-06-04 16:20:50"
"CB","AA","2014-05-25 11:57:34"
"CB","DC","2014-05-19 12:10:19"
"CB","AA","2014-02-26 06:16:00"
"CB","JC","2014-05-24 10:54:40"
"CB","AA","2014-03-23 06:24:22"
"CB","HF","2014-05-26 09:07:18"
"CB","JC","2014-03-30 09:01:29"
"CB","JC","2014-03-31 08:51:35"
"CB","T","2014-05-16 06:50:57"
"CB","JC","2014-05-30 08:20:59"
"CB","ss","2014-05-21 13:30:52"
"CB","AA","2014-05-19 12:07:38"
"CB","DC","2014-06-04 07:26:34"
"CB","AA","2014-03-25 08:06:10"
"CB","JC","2014-05-17 21:17:02"
"CB","JC","2014-06-04 07:26:34"
"CB","HF","2014-05-16 14:50:07"
"CB","E","2014-04-17 21:02:18"
"CB","AA","2014-05-26 09:06:09"
"CB","ss","2014-05-10 07:19:10"
"CB","AA","2014-05-14 13:52:14"
"CB","AA","2014-03-27 14:15:22"
"CB","JC","2014-05-04 07:22:03"
"CB","AA","2014-05-07 08:42:58"
"CB","AA","2014-06-06 14:55:40"
"CB","AA","2014-03-29 07:16:18"
"CB","JC","2014-05-04 09:10:40"
"CB","HF","2014-05-17 20:08:28"
"CB","JC","2014-05-25 07:15:17"
"CB","ss","2014-05-24 08:44:56"
"CB","JC","2014-05-05 13:22:16"
"CB","JC","2014-03-08 06:53:42"
"CB","AA","2014-06-07 06:31:59"
"CB","JC","2014-05-25 11:56:22"
"CB","AA","2014-05-20 15:02:23"
"CB","JC","2014-06-05 07:40:02"
